F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
USA,934.53,-44.28,-2255.13,18520.86,1.76,56.48,-8.74,12,Medium,0.02,5.72,-2.07,22.05,151.28,7,128.76
Rest,-399.36,-111.26,-2509.11,13273.35,1.99,136.88,-13.14,30,High,0.08,4.78,-0.87,66.75,203.34,3,0
Rest,-596.1,-97.53,-2059.35,15610.74,0.17,167.84,-8.09,18,Low,0.4,3.26,-0.04,2.01,187.02,5,0
Rest,-311.19,-91.81,-2198.43,30768.69,0.42,72.92,-7.04,18,Low,0.86,5.64,-2.91,18.45,181.96,4,0
USA,-1144.59,-107.74,-4068.48,29572.86,5.91,17.62,-11.48,9,Very low,257.04,11.94,-5.69,27.81,210.9,4,3685.93
Rest,-790.08,-105.1,-1633.53,26920.41,3.31,90.6,-3.51,9,Low,3.34,11.26,-6.9,33.21,200,3,80.87
UK,-571.08,-22.13,-453.36,17548.32,8.98,37.1,-3.5,9,Very high,0.08,11.72,0.24,26.34,274.5,3,2156.31
Rest,-1916.52,-119.16,-1371.75,9841.56,5.17,115.82,-8.91,6,Low,0.58,3.84,-0.64,39.36,64.98,4,91.9
UK,-1054.23,-110.28,-2919.81,22410.69,4.47,10.84,-11.22,3,Medium,0,2.96,-1.18,30.6,150.64,4,2427.17
Europe,-3073.74,-119.2,-2819.76,15156.39,8.24,80.38,-4.73,24,Low,0.54,3.44,-3.65,30.96,134.5,4,869.92
Rest,-281.55,-116.27,-2999.97,26526.87,1.2,91.86,-8.4,9,Medium,0.02,4.98,-7.9,2.16,316.46,1,0
USA,-61.95,-62.22,-2079.57,21936.06,8.23,96.04,-12.88,6,Medium,0.06,7.42,-2.99,14.91,292.76,5,2031.42
Europe,-1156.17,-135.8,-4137.09,24629.88,1.96,-29.56,-8.57,9,Medium,11.54,4.1,-2.28,51.93,247.16,4,1868.61
Rest,-1319.67,-44.22,-2468.01,28287.36,3.11,34,-7.96,3,Very high,0.14,21.48,-2.53,31.38,174.88,8,2438.66
Europe,-354.42,-115.73,-2161.65,19005.24,4.11,20.28,-10.81,12,Medium,0.18,3.86,-2.63,43.89,135.14,3,421.99
USA,-995.7,-116.83,-2590.92,-16438.95,1.64,88.58,-7,12,Medium,2.44,6.72,-2.38,29.94,130.12,1,0
USA,-182.25,-75.98,-1725.03,19963.47,4.27,66.62,-12.33,12,Very high,149.24,21.52,-3.64,-8.43,188.84,6,3546.01
Europe,-637.98,-133.48,-1580.79,26510.64,1.22,43.94,-7.35,6,Very low,0.08,7.88,1.4,29.31,214.76,3,0
Rest,251.94,-88.44,-2941.11,19298.01,3.27,28.76,-9.14,15,Very high,0.1,6.38,-3.43,15.15,263.08,2,277.18
USA,1046.61,-104.53,-2648.55,5028.6,2.5,134.9,-7.29,9,Very low,0.3,3,-8.93,43.2,227.38,7,0
UK,-661.65,-120.5,-2107.53,31701.66,6.28,107.3,-4.32,9,High,159.48,2.76,-0.98,56.34,65.9,3,0
USA,-363.24,-127.36,-2899.02,11796.57,0.78,7.26,-6.16,12,Low,46.6,5.92,-2.54,29.37,194.84,2,140.26
Rest,-981.39,-100.48,-2351.31,29492.73,7.55,83.1,-3.88,21,Medium,0,16.4,-4.03,35.61,172.96,3,554.61
Europe,-615.33,-103.84,-1646.4,73971.93,1.33,58.6,-7.82,21,Low,4.26,7.5,1.9,37.2,235.66,5,0
USA,-487.86,-93.34,-890.04,25300.89,2.47,74.64,-6.5,12,Very high,36.6,11.72,-3.23,18.09,738.88,5,539.15
USA,227.49,-44.54,-3328.32,36893.85,3.92,-92.16,-3.39,12,High,1.84,4.54,-8.93,28.59,230.88,5,3666.01
UK,525.63,-107.53,-3204.78,25042.29,0.41,14.28,-13.46,9,High,0.02,12.18,-1.66,32.22,162.82,5,2137.38
Europe,-1672.35,-99.78,-2369.52,15178.26,9,69,-9.24,3,Medium,134.3,10.58,-5.02,43.89,152.46,1,1762.76
USA,-145.65,-130.66,-3844.32,14595.33,1.79,68.2,-6.01,12,Medium,2.68,1.22,-6.93,29.25,175.94,5,386.66
Rest,-1023.6,-86.68,-2773.77,25822.47,3.75,32.86,-12.84,18,Very low,0.06,15.26,-3.13,40.44,309.38,3,434.07
USA,-1663.77,-96.47,-1942.74,24655.77,3.24,40.58,-8.21,9,Very low,2.42,9.66,-5.94,15.99,143.1,4,1290.43
Europe,594.18,-93.5,-3080.13,21810.09,1.53,79.46,-7.85,12,High,1.22,9.72,-6.2,27.66,171.1,4,413.52
Rest,637.86,-86.36,-1215.93,40256.94,0.88,11.66,-6.79,21,Medium,1.52,12.8,-3.27,29.13,244.1,1,0
USA,-815.19,-49.72,-3684.84,10189.86,10.44,41.3,-8.24,6,Very high,9,4.56,-4.82,36.54,141.88,1,3700.86
Rest,290.7,-27.03,-1397.85,30061.77,2.61,50.72,-1.4,24,Very low,11.76,7.92,-6.07,37.71,246.66,6,0
Europe,646.74,-65.94,-3134.79,26863.26,1.22,118.62,-9.3,12,Very high,0.36,8.34,-4.72,44.61,156.28,5,281.89
Rest,-969.6,-64.07,-3248.01,-927.09,3.68,25.74,-8.21,18,Very low,0.02,15.12,-6.54,31.35,-157.96,3,564.24
UK,-1630.56,-98.22,-1345.14,14534.88,2.08,109.56,-1.66,15,Low,0.52,1,-10.93,15.78,147.18,3,0
Europe,352.95,-94.87,-2130.51,31110.39,2.54,-42.58,-9.74,9,High,34.06,12.96,-5.88,27.27,88.02,4,1621.01
USA,-2194.32,-61.95,-2545.32,37126.26,4.94,31.94,-8.35,3,Very low,1.62,20.3,-6.69,21.54,214.12,2,3727.63
UK,-737.22,-114.82,-1836.45,23576.01,6.8,61.64,-4.54,12,Very high,77.18,14.34,-2.51,15.72,81.38,5,2574.41
USA,-710.28,-29.88,-2961.84,23457.54,5.69,92.4,-9.24,15,High,8.78,8.34,-6.21,49.08,95.7,6,2459.82
UK,-1611.18,-15.99,-1448.43,21011.46,0.12,41.44,-8.3,9,Very high,1530.58,12.54,-3.29,33.24,60.32,2,1022.1
Europe,-988.53,-45.51,-1333.68,4659.36,1.4,35.76,-8.96,3,Medium,0.18,4.54,-2.84,34.95,186.16,4,461.8
Rest,-1818.45,-90.78,-2741.64,17845.74,3.44,94.34,-2,9,Medium,4.34,9.02,-8.22,32.34,73.8,2,357.82
USA,-850.62,-55.31,-2085.33,38923.26,4.32,87.84,-9.07,24,High,13.4,8.76,-1.07,34.11,206.28,6,310.13
USA,-843.15,-53.97,-2348.64,24534.45,7.52,183.1,-13.84,12,Very low,0.02,5.42,-8.51,31.62,273.52,5,0
USA,-1604.88,-107.89,-2860.44,25884.03,2.91,74.82,-0.89,9,Low,4.02,4.16,-1.55,17.82,166.48,5,1092.21
UK,201.42,-121.28,-2946.9,-8505.75,5.28,-56.74,-7.21,12,Low,4.26,5.68,-6.12,28.98,287.28,5,2364.4
Rest,-530.13,-51.07,-2138.31,16533.48,2.49,-30.26,-1.35,15,Medium,1.36,2.18,-2.23,51.96,161.32,3,170.14
Rest,-1484.91,-69.02,-2983.38,21871.02,4.4,-72.04,-7.93,12,High,0.3,7.86,-4.22,29.82,123.7,5,1727.23
Rest,-151.68,-147.66,-2676.27,12787.47,0.56,73.74,-9.04,6,Low,13.56,4.84,-2.56,22.17,380.9,2,0
UK,-306.51,-56.76,-2019.66,23307,1.93,42.5,-9.91,9,Medium,0.02,8.22,-4.77,12.57,152.42,2,0
Rest,-1241.46,-98.28,-1944.39,25064.55,0.4,125.42,-11.13,21,Very low,4.8,9.2,0.52,27.33,144.28,7,0
Rest,-412.17,-114.21,-2766.12,14058.66,4.69,83.7,-9.68,9,Medium,18.68,12.48,-0.78,31.98,132.1,1,321.58
Europe,-424.23,-45.68,-2186.82,26064.12,1.7,119.88,-7.02,6,Medium,0.2,8.34,1.09,37.47,303.7,2,0
Europe,-2236.71,-122.78,-2058.57,4173.45,5.57,-53.5,-6.9,9,Very high,3,11.5,-4.7,29.97,122.2,3,2814.64
USA,-1490.19,-54.22,-3149.64,22658.46,11.71,25.44,-7.3,15,Medium,3.86,11.98,-2.95,28.77,154.88,4,3774.55
UK,-573.51,-81.4,-1521.15,34897.98,2.81,155.06,-7.05,12,Very low,802.02,4.62,-6.56,24.03,126.88,5,0
UK,669.3,-150.83,-1696.59,19263.78,3.65,-44.52,-8.04,18,Very high,0.3,7.84,-1.24,47.64,199.26,6,1792.71
Rest,-1898.25,-119.96,-300.15,48034.89,10.55,93.6,-3.06,24,High,18.34,2.64,-10.75,28.47,78.52,5,60.5
USA,-817.95,-74.49,-2641.74,28947.06,1.59,91.82,-6.7,18,Very high,0.4,15.76,-4.59,31.2,-10.88,3,1179.69
UK,-647.7,-134.67,-3008.79,53231.88,1.21,134.56,-5.67,12,Very low,1.34,22.46,-3.45,34.65,170.58,3,451.7
Europe,387.12,-91.13,-1883.13,32653.26,2.61,81.52,-8.31,6,Very low,481.9,5.02,-4.43,9.12,188.34,6,0
USA,-747.54,-54.56,-3283.44,27599.97,1.88,-37.6,-6.41,9,Very high,2705.82,9.58,2.32,43.68,226.64,4,3694.77
USA,57.96,-95.11,-1548.42,24370.74,0.81,86.8,-8.14,12,Very low,12.18,3.82,-3.88,8.7,109.44,2,0
Rest,271.98,-56.85,-2062.74,24930.39,4.17,-95.58,-7.18,12,Low,0.74,5.62,-2.75,63.75,197.46,3,541.39
UK,-978.84,-113.2,-2679.72,21047.4,0.43,-76.36,-8.13,18,Very low,158.88,3.06,-2.27,16.2,337.78,5,726.91
UK,-1198.38,-144.94,-1597.29,21889.17,1.45,-34.54,1.13,6,Low,2.8,0.8,-3.09,22.92,268.78,7,1506.61
Rest,-933.87,-116.37,-1090.23,29689.98,2.64,21.96,-13.69,15,Medium,213.74,11.14,-1.43,78.39,251.1,6,339.11
Rest,228.45,-82.31,-3255.9,-2731.38,4.87,75.62,-6.65,9,Low,17.02,5.68,3.28,28.44,197.06,7,459.48
Rest,-985.23,-54.61,-531.69,8140.65,1.98,39.52,-5.97,12,Very low,102.14,1.36,-5.3,17.37,317.14,3,0
UK,-697.44,-77.74,-2393.25,23046.18,4.98,96.06,-3.36,6,Low,980.32,4.24,-5.15,37.05,179.4,6,642.8
Europe,-1642.86,-130.73,-1533.21,20204.13,0.67,-16.72,-7.02,27,Medium,18.8,3.28,-0.4,24.72,196.2,3,0
Europe,-374.73,-10.41,-2761.8,32156.1,8.29,17.78,-2.02,6,Low,3.7,4.52,-3.83,25.5,137.24,5,1660.16
Rest,-859.38,-132.25,-1800.72,31464.54,1.22,20.94,-9.91,9,Very high,4.52,3.3,-3.85,19.71,212.28,3,222.73
Europe,-796.23,-76.57,-2424.36,37693.08,3.59,32.72,-12.45,15,Very high,69.16,3.38,-3.87,5.25,-204.06,3,620.51
Rest,-706.68,-94.53,-1903.77,14041.23,2.36,34.8,-6.89,3,Very high,12.2,12.16,-4.27,2.73,209.8,4,895.12
UK,419.49,-73.52,250.71,20417.1,0.62,43.02,-8.88,24,Very low,0,13.32,-6.89,26.46,91.76,3,0
Europe,-1228.59,-100.44,-1978.26,22560.87,1.34,26.74,-3.42,15,Low,0,1.84,-1.16,26.1,205.08,5,45.65
USA,-1938.39,-80.54,-2520.99,-1645.05,6.6,103.8,1.54,18,Very high,1.38,4.8,-3.5,36.81,329.84,4,1648.66
Europe,-1090.86,-128.11,-1530.45,25241.79,5.31,3.92,-6.37,0,High,768.48,8.44,-0.99,25.44,42.04,5,2041.66
UK,563.19,-69.47,-2157.84,22596.33,4.92,0.18,-5.34,0,Medium,89.1,2.92,-3.28,21.03,227.12,7,2253.52
USA,-1049.85,-141.59,-2425.92,19997.55,4.73,100.34,-7.34,15,Low,0.38,19.5,-8.15,16.74,176.54,6,2929.19
UK,-676.44,-107.26,-3118.56,28868.55,1.29,-12.46,-9.7,9,Low,0.04,3.34,-1.32,57.72,85.34,5,1545.04
USA,-39.84,-53.99,-1347.42,12356.52,8.04,45.64,-7.78,12,Medium,0.02,0.58,2.23,28.41,180.24,1,0
USA,-550.59,-82.2,-2450.07,41659.74,9.58,81.46,-13.88,12,High,1.28,5,-9.71,4.65,232.12,2,1555.64
UK,-1040.07,-115.86,-3062.58,22804.89,7.79,49.22,-4.51,18,Medium,29.22,23.5,-1.75,10.08,230.34,7,2950.19
Europe,-746.43,-93.87,-2556.3,32163.39,6.51,18.1,0.28,15,Low,1.1,24.46,-1.01,30.63,144.44,2,2069.94
Europe,394.05,-82.31,-2886.39,15112.14,10.68,-27.92,-9.1,15,Medium,1.16,3.18,-2.36,29.31,245.08,6,1930.62
USA,805.71,-64.86,-1333.11,29374.08,5.74,142.62,-8.62,3,Very high,96.5,6.3,-0.65,28.59,15.34,5,119.68
Europe,-992.13,-111.05,-1630.02,28037.85,1.16,-90.38,-7.57,18,Medium,0.06,14.16,-7.03,48.6,132.98,2,1269.65
Rest,-1311.81,-116.56,-590.85,18196.08,0.36,70.8,-12.53,18,Very low,16.28,1.34,-3.16,33.27,96.96,7,0
Europe,-734.61,-18.04,-4137.78,19152.06,3.03,55.94,-9.64,6,Medium,2.72,4.88,-2.42,29.4,188.26,3,1248.35
USA,234.18,-77.18,-4023.9,12348,4.97,84.96,-11.05,6,Low,0.04,11.94,-2.69,34.26,298.18,2,2280.15
Europe,-242.88,-92.02,-513.33,35868.66,12.75,27.22,-2.37,9,Medium,175.04,4.04,-0.2,29.37,103.6,3,908.4
Europe,229.47,-127.66,-1633.44,23166.93,3.34,81.18,-7.64,15,Very high,0.14,9.68,0.2,27.51,217.46,3,69.17
Rest,164.58,-63.07,-2088,44211.72,6.62,100.12,-10.62,15,Low,534.02,18.54,-2.62,20.1,180,3,269.2
USA,-628.83,-64.35,-2538.06,16796.49,7.54,115.22,-6.65,6,Very low,11.92,2.64,-10.59,6.84,206.78,1,0
Europe,-1049.28,-112.28,-3275.22,4185.03,1.36,61.94,-9.6,18,Very low,0,2.52,-3.9,21.78,122.16,3,0
Rest,-1988.04,-77.31,-3076.5,13891.05,5.06,64,-13.89,6,Very high,0.36,6.24,-3.29,28.89,145.84,4,1198.31
Rest,-117.96,-88.16,-1712.22,18033.81,2.68,62,-4.7,9,Medium,3.96,7.7,-3.21,28.14,205.38,2,0
Rest,-29.16,-69.04,-1455.33,24401.31,1.05,92.68,-5.74,15,Low,25.58,1.94,-6.93,27.81,308.62,3,0
Rest,-1709.1,-45.77,-1719.12,27491.49,1.6,17.3,-7.77,12,Very low,133.08,17.44,4.8,30.9,169.66,4,552.63
Rest,-1296.33,-21.13,-4580.01,24185.16,1.65,34.56,-4.38,9,High,0.04,5.5,-6.98,31.83,177.46,7,1395.28
Europe,-4.65,-96.65,-3163.77,25536.72,1.82,-21.04,-5.61,9,Low,1.92,8.38,-0.94,17.4,126.6,2,908.92
Europe,-2398.02,-121.56,-3632.13,29963.79,3.45,92.82,-10.02,9,Low,0,18.1,-6.01,22.77,156.92,1,1721.82
Rest,-326.19,-82.93,-3760.2,28203.72,10.55,-24.1,-11.99,15,Very high,1.36,23.9,-7.73,11.07,159.2,5,3178.14
Rest,-307.2,-112.24,-3645.72,20315.7,1.83,131.06,-4.46,18,Very low,4.12,3.92,-1.79,28.26,420.38,2,0
Europe,-2455.08,-53.86,-3011.55,9063.84,2.75,49.26,-6.73,9,High,0.04,6.74,-6.91,35.25,213.96,4,1685.51
Rest,-33.93,-56.25,-2106.39,32383.77,0.93,93.48,-4.13,15,High,241.64,8.08,-5.64,9.27,171.8,4,0
Europe,-101.16,-84.39,-2454.54,35522.46,11.01,101.14,-3.16,15,Low,0.7,6.74,0.5,11.88,28.94,4,692.75
Rest,-46.92,-141.63,-1848,23538.81,4.25,-43.22,-13.22,9,Medium,0.1,11.3,0.23,35.52,225.7,5,977.69
Rest,-2402.31,-124.87,-2782.98,43474.32,11.67,23.6,-9.19,21,Very high,0.02,5.68,-3.7,32.25,164.78,2,1303.57
UK,-942.15,-72.7,-2951.7,41835.03,9.12,76.32,-6.07,9,Medium,0.16,11.4,-2.27,43.32,205.24,6,2814.04
UK,-496.56,-30.07,-3305.7,10881.09,3.33,81.64,-4.3,9,High,73.04,3.1,1.1,58.32,70.36,3,457.69
Rest,-664.32,-86.77,-2230.14,12937.71,6.97,-20.68,-2.05,9,Very high,0.08,2.68,-4.59,-25.35,246.6,3,933.86
USA,1255.17,-65.91,-2047.41,36131.4,3.73,112.96,-3.03,6,Low,65.38,5.12,-4.33,28.77,194.94,4,0
Europe,-1574.46,-91.29,-1297.53,27365.52,5.29,73.66,-9.09,18,Low,134.92,3.86,-5.33,13.23,106.02,6,65.57
USA,184.77,-118.97,-1933.02,26645.73,0.99,190.4,-8.41,6,High,14,4.08,-1.68,39.03,179.58,3,0
Rest,-1815.93,-103.28,-2305.86,18216.9,4.68,130.72,-3.68,6,Low,20.86,3.98,-4.49,32.01,181.42,2,37.84
Rest,-548.46,-82.06,-3519.42,20931.6,7.78,155.08,-6.85,9,Medium,2.82,1.8,-5.84,53.31,177.72,4,220.26
USA,495.33,-117.95,-2953.26,26009.31,1.09,-5.7,1.49,3,Very low,6.24,6.6,-4.89,14.76,188.62,7,2274.17
Rest,-1198.68,-110.42,-416.19,47928.18,3.45,40.04,-8.28,15,High,7.26,5.94,-2.73,21.12,146.98,11,501.68
Europe,-872.16,-105.34,-3579.12,24787.92,3.92,15.02,-6.91,21,Very low,0.66,23.8,-6.03,37.35,156.54,5,2102.07
USA,-1054.44,-7.91,-912.96,44611.38,3.56,49.58,-2.66,15,Low,23.06,13.02,-3.15,28.8,166.26,2,2.74
Europe,-789.36,-126.81,-2249.76,23570.91,2.45,49,-6.28,9,Medium,0.28,11.08,-3.67,22.56,168,5,1107.65
USA,-512.85,-153.24,-2503.17,18728.4,2.33,134.94,-6.94,9,Very high,0.24,1.02,1.51,28.32,129.98,7,246
UK,-603.21,-97.09,-1080.99,29738.97,2.12,-11.96,-5.9,21,Very high,2.94,14.58,-4.76,20.1,115.02,3,950.28
Rest,211.44,-65.04,-1702.56,39584.28,2.53,110.76,-9.63,21,Medium,2309.78,1.82,-6.48,22.29,229.82,1,0
UK,-466.17,-93.77,-3193.68,24791.7,2.39,98.06,-9.71,3,High,0.66,2.14,-3.43,14.76,239.46,2,45.42
USA,-631.92,-103.48,-3214.92,7389.15,5.09,-31.28,-2.73,12,Very low,149.46,1.76,-1.01,31.29,-40.52,5,2428.75
UK,-1824.57,-90.03,-1726.08,15534.39,3.31,-17.42,-4.14,15,High,98.12,9,-3.32,34.23,294.96,3,1978.29
Europe,-2111.58,-94.7,-3222.93,-2431.65,0.98,28.74,-9.88,9,Very high,68.4,15.94,-3.04,29.82,213.92,5,2560.01
USA,-288.84,-92.88,-3136.44,27166.89,4.27,109.74,-1.35,9,High,637.96,9.64,-2.78,25.56,180.92,2,831.68
USA,-570,-116.88,-1887.03,24719.16,0.77,70.12,-9.28,12,Medium,3.98,3,0.6,30.33,143.26,4,0
UK,-518.97,-130.3,-2277.66,9577.08,1.3,13.38,-6.66,6,Low,4.68,14.28,-4.29,43.47,168.32,1,1059.59
USA,-800.88,-109.28,-1733.64,24439.8,4.38,55.26,-5.13,6,Low,30,20.32,-4.11,33.96,319.54,4,3241.77
Rest,-58.5,-141.79,-1785.39,-7288.98,1.55,-34.94,-8.5,15,Low,0.14,5.48,-3.97,38.58,183.02,4,109.65
USA,-1581.21,-88.59,-1820.28,23170.26,2.52,73.9,-9.91,15,High,853.4,8.88,-7.84,22.71,507.7,4,561.66
USA,29.43,-71.65,-1970.04,36395.19,4.66,88.96,-4.63,15,Medium,2.48,11.8,-9.35,27.96,214.26,6,709.43
Rest,-943.98,-97.83,-2368.44,33951.84,9.32,30.32,-3.03,18,Low,0.02,7.88,-0.15,48.21,146.14,2,461.26
Europe,-288.21,-76.64,-1919.1,27423.15,2,53.58,-6.07,9,Very low,80.5,6.72,-2.14,51.84,304.7,2,0
UK,-1925.4,-115.95,-3869.97,25221.57,0.77,156.2,0.87,6,Medium,638.04,5.3,-2,46.71,224.04,1,0
Rest,528.48,-96.99,-1574.19,37357.35,5.69,-33.22,-7.3,9,Very low,0.06,10.04,-9.01,29.07,185.32,3,383.64
USA,-1819.26,-92.55,-3150.99,23325.51,2.53,71.46,-9.53,12,High,666.92,5.88,-1.49,22.53,108.4,4,2006.96
USA,-609.33,-80.05,-2454.33,50550.66,5.73,70.24,-8.27,15,Very low,175.08,5.32,0.14,36.69,-29.46,6,377.3
Rest,-515.7,-146.88,-2899.26,36602.07,5.49,11.1,-13.39,12,Very high,19.4,10.84,-4.64,17.25,238.88,6,1411.97
UK,910.59,-96.07,-1693.38,15694.65,5.46,65.38,-6.84,15,Very high,8664.18,6.48,-0.78,37.71,-49.96,5,0
Rest,-1323.72,-61.51,-247.92,-3211.02,4.39,98.56,-2.09,9,Very low,0.02,13.74,-1.86,35.34,185.66,5,85.31
USA,-610.32,-142.96,-1027.29,29412.06,6.6,-0.08,-9.61,21,High,0.74,5.8,-8.15,38.91,225.46,2,204
UK,-133.89,-126.08,-2134.74,21976.47,6.08,85.42,-7.26,15,Medium,2.98,1.44,-1,27.93,138.06,2,0
UK,689.43,-98.61,-1920.96,22328.76,5.25,44.6,-9.59,3,Very low,0.56,8.7,-3.41,22.68,234.4,5,779.08
USA,-1711.05,-145.09,-2717.31,-336.72,2.45,-46.28,-8.79,12,High,3.56,0.66,-2.19,28.65,190.28,5,3256.3
Rest,106.71,-95.41,-3669.6,41335.95,2.72,-38.9,-5.31,12,Low,0.26,6.42,-3.31,38.13,191.02,2,515.16
UK,-1293.54,-70.86,-1327.89,252.78,3.83,80.62,-4.73,9,Very low,12.86,9.14,-4.37,29.85,177.74,2,0
UK,-1479.06,-17.87,-2916.18,21967.14,0.94,33.14,-7.17,9,Low,1.76,3.88,-6.36,16.02,151.5,2,75.07
USA,-3099.51,-100.18,-3826.86,26502.39,2.09,137.94,-11.02,18,Very high,2.62,5.1,-4.44,28.02,158.6,4,1737.77
USA,444.03,-71.62,-1641.54,34634.88,5.23,-5,-3.29,21,Low,2.16,3.2,-5.85,30.93,148.3,5,0
USA,-1175.52,-68.23,-1766.34,25980.99,10.75,100.36,-7.6,3,Medium,7.3,4.16,-0.82,39.84,175.38,6,3240.08
USA,-1219.59,-98.44,-2785.74,33482.97,1.03,66.56,-5.81,9,Low,1.08,2.24,-5.04,34.89,182.3,5,234.04
USA,513.24,-123.15,-3349.17,46693.41,0.43,164.32,-5.76,18,High,0.08,2.76,-3.84,45.42,187.4,3,0
UK,-89.91,-71.82,-2810.34,20548.62,5.4,93.76,-3.45,9,Very high,802.88,0.54,-1.38,15.87,255.26,4,362.25
Rest,-745.44,-92.79,-2526.81,34028.58,5.79,55.54,-10.1,12,High,2.02,22.16,-2.36,31.71,101.14,6,1645.33
Rest,-438.39,-104.72,-2170.41,17112.3,4.98,-16.56,-8.19,15,Very low,5.74,8.6,-2.48,17.85,336.78,9,831.17
Rest,1705.5,-126.26,-1411.95,14221.26,2.09,-20.4,-4.59,6,High,27.56,4.8,-0.31,0.36,389.86,6,225.32
USA,48.33,-58.97,-1794.66,41431.68,3.06,35.92,-8.53,6,Medium,0.38,7.76,-3.71,30.33,76.18,1,143.47
Europe,-1313.7,-62.54,-1803.15,24147.87,4.35,43.12,-7.62,9,Low,1.62,10.58,-4.99,62.1,112.12,3,875.97
USA,7.05,-48.28,-1612.29,19718.88,2.55,76.98,-8.16,12,Very high,60.62,7.48,-7.74,38.85,228.38,2,0
USA,-104.25,-59.03,-2826.27,28866.81,2.12,127.56,-3.84,3,Low,592.78,0.48,-0.43,36.75,154.1,6,0
UK,-1089.96,-100.35,-1578.33,26836.2,5.24,41.76,-7.73,15,Very low,2.06,7.1,-4.37,17.85,183.52,3,0
Rest,-307.2,-121.97,-3127.92,38644.32,1.16,91.06,-9.6,0,Low,3.92,1.46,-4.45,22.11,212.04,6,211.74
USA,407.61,-95.14,-2132.25,24382.32,1.59,104.78,-7.34,6,Medium,1.42,9.28,-5.29,32.31,46.9,5,86.56
UK,-458.25,-72.23,-3135.57,22149.33,3.17,11.1,-5.98,15,High,0.86,9.2,-4.52,24.15,166.76,2,1600.29
Europe,-1379.16,-67.3,-3016.56,42708.45,0.69,73.28,-4.83,9,Low,1,16.74,-11.39,21.06,54.2,5,1398.87
Rest,-1525.02,-86.05,-1914.66,25331.7,1.11,55.02,-7.13,15,Very low,1.5,2.68,-3.78,32.64,277.24,6,0
Rest,-1000.83,-100.73,-2526.84,23708.55,4.64,95.72,-7.86,18,Low,32.98,3.22,-3.49,34.29,225.16,4,0
USA,-1465.53,-77.48,-934.59,19870.38,2.15,105.32,-11.53,6,Very low,2.52,7.2,-2,31.65,256.94,6,0
Europe,824.88,-27.59,-2196.75,20744.55,9.33,33.78,-9.52,21,High,6.12,2.96,-7.3,25.8,293.18,1,0
UK,-270.99,-139.37,-1767.69,26405.43,8.75,-65.08,-6.06,12,Very high,261.92,7.94,-1.93,29.13,51.6,6,2904.53
USA,643.86,-112.87,-2481.3,25782.09,1.27,112.04,-4.46,9,High,227.6,7.56,-4.27,30.84,213.52,5,0
UK,-1355.49,-154.31,-1945.92,22169.52,2.12,71.34,-9.17,18,Very high,0.82,6.88,-8.59,34.95,123.44,3,0
Europe,57.66,-81.28,-2610.33,3455.64,4.41,-29.38,-2.39,12,Very high,20.7,9.04,-6.71,18.81,146.88,2,1488.69
Europe,-824.34,-78.52,-1581.75,6488.64,10.03,50.84,-7.14,9,Very high,3.66,10.24,-9.67,54.27,273.9,4,1949.75
Europe,16.62,-157.55,-1980.99,23920.71,0.55,62.62,-9.13,9,Very low,3.04,2.14,-5.54,12.69,-5.58,5,0
Europe,45.75,-90.48,-2738.13,-6010.05,6.2,30.92,-6.73,15,Very high,14.64,6.26,-10.31,-4.29,170.96,7,1626.28
USA,81.78,-110.86,-4824.18,39336.75,2.27,65.16,-7.97,12,Low,80.92,10.22,-3.26,23.43,173.4,5,2605.87
Rest,-27.39,-52.95,-789.75,24749.85,0.27,152.96,-4.15,6,Very low,0.14,8.82,-7.29,52.32,177.06,3,0
USA,434.34,-96.46,-2626.77,28291.17,0.4,81.36,-10.03,3,High,160.86,0.48,-4.75,30.99,49.86,4,0
Europe,-1744.2,-65.13,-2359.65,24944.04,2.69,21.32,-2.88,18,Low,12.14,2.8,-8.28,33.33,210.42,5,430.12
Rest,-1220.13,-94.44,-27.99,15805.95,0.8,63.62,-4.92,12,Very high,0.38,5.52,-4.62,35.37,228.94,1,0
Europe,280.02,-110.19,-1705.26,18312.75,0.69,23.76,-9.56,9,Very low,0.52,9.84,-7.91,24.39,267.2,2,0
Rest,200.7,-133.91,-2646.66,-6451.23,5.1,15.32,-4.59,6,Very low,67.86,3.96,-4.3,31.08,176.76,3,233.1
Europe,-895.65,-107.71,-1966.47,18498.93,3.09,23.66,-3.04,15,High,0.06,11.34,-6.52,33.69,-0.04,4,1082.86
Rest,-542.01,-36.51,-3371.79,17564.1,5.19,105.88,-5.41,15,High,0.6,9.4,-10.1,27.78,157.94,4,459.92
USA,-231.54,-53.16,-1264.86,20095.5,2.18,-7.98,-7.92,9,Very low,0,6.58,-3.62,30.12,39.84,7,769.82
Rest,881.73,-119.72,-2011.92,10855.2,4.51,-26.44,-10.72,15,High,0.02,12.34,-2.64,28.11,125.7,5,718.86
Rest,20.52,-49.69,-1515.12,35552.58,4.67,5.16,-9.27,12,Very high,34.76,19.12,1.27,31.89,195.7,6,1281.85
USA,-95.46,-22.48,-2016,11157.72,0.27,72.92,-8.68,15,High,3.74,3.18,-5.11,26.01,127.78,6,0
Rest,-546.09,-103.34,-2895.48,11775.6,7.13,8.14,-8.47,12,Very high,1.08,6.5,-5.03,23.67,255.58,4,1133.97
