F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
1.78,-4.38,-47.64,-26.28,8.77,2,1.72,-79.01,-10.18,42.72,1.02,150,0.48,36.57,8.02,True
3.54,-5.24,-47.64,-19.71,8.43,2,8.22,-88.01,-8.84,8.72,-0.13,21,0.22,27.84,8.35,True
14.7,-0.5,-80.64,-2.76,15.64,20,-6.7,-19.01,-13.18,330.72,-6.03,315,9,9.99,,True
28.1,0.94,-50.64,-7.02,14.04,20,-9.6,0.99,-11.24,80.72,-5.86,840,9.95,17.16,7.87,True
3.42,-3.74,-32.64,-32.79,8.88,2,1.28,-55.01,-10.58,74.72,-0.41,0,0.3,27.09,7.41,False
0.48,-3.58,-41.64,-20.04,8.5,2,1.86,-56.01,-11.46,0.72,-0.68,57,0.58,29.19,,True
4.1,-4.18,-47.64,-19.65,8.23,2,4.12,-72.01,-14.92,-1.28,2.04,9,0.08,30.45,,True
1.44,-4.22,-41.64,-17.94,8.81,2,1.78,-85.01,-13.02,46.72,-0.09,99,0.09,30.9,6.91,False
10.6,0.01,-110.64,-14.16,13.04,20,-7.46,-134.01,-15.18,40.72,-4.39,420,7.7,15.3,,True
3.22,-3.61,-35.64,-20.19,8.82,2,2.94,-58.01,-10.68,-7.28,0.21,222,0.53,27.75,,True
1.8,-3.9,-47.64,-25.71,8.58,2,3.76,-84.01,-9.66,4.72,-0.51,60,0.33,27.18,9.56,True
1.92,-4.24,-41.64,-22.5,8.29,2,1.84,-85.01,-12.96,42.72,-0.45,15,0.94,30.54,,True
4.32,-5.02,-41.64,-21.63,8.12,2,1.92,-77.01,-9.92,62.72,0.78,105,0.92,25.98,,False
29.9,-0.54,-110.64,-11.43,12.89,20,-4.82,-134.01,-8.54,320.72,-3.97,945,7.05,21.33,6.21,False
2.06,-4.21,-41.64,-21.6,8.5,2,7.86,-83.01,-11.7,-9.28,-0.05,42,0.79,24.93,,True
12.6,0.28,-50.64,-5.19,15.39,20,-7.24,-44.01,-11.6,220.72,-5.07,855,5.35,15.99,,False
2.76,-3.61,-41.64,-24.63,8.74,2,2.22,-85.01,-14.36,26.72,-0.17,159,0.61,29.19,7.91,True
13.4,-5.39,-110.64,-6.75,13.04,20,-3.1,-179.01,-8.7,90.72,-4.67,615,6.35,15.27,6.96,False
2.8,-4.08,-41.64,-20.55,8.62,2,2.06,-72.01,-10.52,20.72,0.15,162,0.05,27.96,7.14,False
1.36,-4.74,-41.64,-18.87,8.15,2,2.94,-81.01,-10.14,44.72,-0.78,30,0.72,27.57,,False
2.38,-5.95,-47.64,-20.19,8.72,0,0.78,-71.01,-11.86,54.72,1.8,198,0.29,30.6,8.02,True
3.58,-6.5,-41.64,-20.34,8.14,2,1.5,-84.01,-9.42,76.72,1.35,87,0.69,26.25,,False
11.3,-0.54,-80.64,-8.55,13.69,20,-2.08,-24.01,-9.96,100.72,-4.71,435,5.6,16.02,,False
26.5,0.45,-80.64,-3.99,14.49,20,-6.2,-144.01,-10.1,50.72,-4.28,975,6.55,13.32,,True
1.62,-7.84,-41.64,-24.99,8.62,2,1.2,-54.01,-11.8,38.72,-0.78,105,0.6,25.92,,True
1.54,-4.42,-35.64,-20.67,8.6,2,4.52,-50.01,-10.8,16.72,1.3,6,0.4,25.29,,True
12.7,-2.05,-50.64,-7.95,13.34,20,-7.28,10.99,-11.98,-19.28,-4.93,1110,9.8,12.27,,False
0.4,-8.95,-47.64,-21.39,8.48,2,1.94,-80.01,-14.02,52.72,2.74,81,0.88,25.68,8.02,False
3.68,-4.63,-47.64,-22.38,8.31,0,2.58,-81.01,-9.6,78.72,0.76,174,0.82,29.34,8.11,False
16.3,-1.72,-80.64,-8.46,14.49,20,-4.18,-79.01,-10.7,460.72,-2.33,690,5.95,19.35,7.07,False
11.1,0.13,-80.64,-5.76,14.24,20,-6.5,-119.01,-16.86,330.72,-4.94,600,7.05,13.2,6.27,False
3.22,-5.03,-41.64,-19.71,8.33,2,1.3,-76.01,-10.22,14.72,-0.79,78,0.28,26.58,7.79,False
0.52,-3.6,-47.64,-20.97,8.8,2,0.72,-81.01,-16.5,2.72,-0.33,120,0.03,25.68,7.93,True
15.1,-0.89,-80.64,-10.02,13.69,20,-4.1,-69.01,-12.72,320.72,-3.16,825,5.1,19.05,6.46,False
0.12,-4.8,-41.64,-19.26,8.6,2,6.3,-75.01,-10.76,64.72,-0.54,51,0.41,29.58,7.42,False
19.3,-0.69,-110.64,-10.29,12.69,20,-0.88,-164.01,-6.42,180.72,-4.05,165,6.3,24.12,,False
20.3,-3.5,-80.64,-14.07,14.84,20,-1.34,-9.01,-9.32,440.72,-3.97,480,7,17.58,,False
26,0.34,-50.64,-5.88,13.64,20,-6.9,-39.01,-10.58,290.72,-5.44,615,9.5,16.02,,True
13,0.35,-80.64,-6.99,14.14,20,-1.28,-79.01,-8.58,390.72,-2.53,195,7.7,17.25,7.25,False
1.56,-3.77,-41.64,-20.67,8.51,2,3.14,-54.01,-12.62,42.72,-0.83,21,0.35,29.13,7.32,False
3.6,-3.9,-35.64,-21.27,8.83,2,0.56,-68.01,-11.98,-7.28,-0.54,36,0.35,27.09,9,True
22.7,0.95,-50.64,-7.62,17.54,20,-3.4,15.99,-10.36,430.72,-4.86,480,5.95,22.08,,True
3.18,-4.45,-47.64,-20.91,8.47,2,1.66,-83.01,-11.76,18.72,3.31,147,0.16,26.73,,False
29.8,0.35,-50.64,-9.81,14.49,20,-2.86,-49.01,-9.42,350.72,-3.62,705,7,13.32,,False
13.2,-0.25,-50.64,-5.49,13.34,20,-2.28,-69.01,-14.86,240.72,-5.25,1065,8.85,14.88,8.12,False
13.3,1.39,-80.64,-4.02,16.39,20,-8.66,-54.01,-11.24,320.72,-5.04,765,7,17.91,7.86,True
19.2,0.38,-80.64,-6.84,13.94,20,-2.78,0.99,-14.14,430.72,-5,150,8.6,17.4,6.65,False
27.9,0.31,-50.64,-11.79,14.14,20,-5.68,10.99,-10.36,60.72,-2.1,825,5.35,16.08,5.94,False
0.68,-3.83,-41.64,-19.41,8.42,2,0.72,-79.01,-10.14,16.72,0,81,1,27.93,7.53,True
16.1,0.55,-50.64,-5.25,15.29,20,-7.54,20.99,-15.42,260.72,-5.43,1065,6.55,14.19,,False
17.6,0.28,-80.64,-9.12,13.44,20,0.8,-54.01,-13.64,180.72,-4.46,975,7.1,20.46,6.51,False
2.86,-4.52,-47.64,-17.82,8.51,2,0.72,-81.01,-9.4,-3.28,-0.61,21,0.79,25.29,,True
2.62,-4.12,-41.64,-24.09,8.55,2,2.14,-51.01,-10.76,40.72,-0.95,27,0.78,26.91,,True
2.54,-4.98,-41.64,-23.34,8.76,2,10.62,-57.01,-10.94,12.72,-0.6,66,0.02,29.19,,False
19.6,-0.77,-80.64,-9.24,13.24,20,-5.7,-89.01,-8.4,460.72,-4.27,120,8.2,23.49,,False
2.68,-4.55,-47.64,-20.58,8.37,2,6.28,-74.01,-9.86,-3.28,0.67,39,0.11,27.09,7.61,True
22.6,0.76,-50.64,-5.01,14.19,20,-0.26,-24.01,-13.06,30.72,-4.91,1035,5.85,23.58,7.4,False
1.3,-3.98,-41.64,-23.49,8.7,2,5.8,-86.01,-11.48,8.72,-0.89,66,0.16,32.19,7.23,False
29.2,0.48,-110.64,-11.55,13.99,20,-5.38,-119.01,-7.32,290.72,-2.83,900,7.35,18.87,5.5,False
24.3,0.63,-50.64,-6.66,15.19,20,-6.2,15.99,-13.28,300.72,-3.54,795,5.8,16.74,7.13,False
3.2,-3.91,-41.64,-18.87,8.27,2,4.08,-74.01,-11.04,32.72,2.32,213,0.81,34.53,7.55,False
3.24,-5.69,-41.64,-18.93,8.13,2,2.88,-62.01,-11.7,58.72,-0.76,63,0.96,26.07,,False
21.5,-0.19,-50.64,-11.73,13.39,20,-3.56,-14.01,-12.72,370.72,-4.12,165,7.6,16.38,,False
18.6,-1.48,-110.64,-9.63,13.14,20,-5.22,-84.01,-7.78,220.72,-3.78,75,5.5,17.07,,False
3.56,-4.86,-41.64,-24.57,8.62,2,1.7,-51.01,-12.2,-1.28,-0.53,18,0.14,27.72,,False
3.32,-5.78,-47.64,-19.77,8.54,2,5.38,-79.01,-10.56,32.72,2.22,15,0.32,26.25,,True
3.08,-3.83,-35.64,-19.44,8.84,2,2.92,-56.01,-11.32,8.72,-0.47,9,0.96,24.6,,True
25.1,-1.7,-50.64,-7.26,13.39,20,-4.34,-59.01,-9.86,250.72,-3.18,915,7.4,15.15,6.85,False
26.7,-0.6,-80.64,-11.67,13.54,20,-4.94,-144.01,-7.6,330.72,-2.8,465,6.15,21.39,6.32,False
2.02,-5.36,-47.64,-21.27,8.62,2,2.94,-88.01,-10.56,52.72,-0.94,147,0.63,25.5,7.37,False
3.28,-4.47,-47.64,-21.45,8.64,2,1.68,-70.01,-13,48.72,0.64,138,0.43,27.66,,False
2.82,-4.05,-41.64,-18.6,8.66,2,1.26,-62.01,-12.22,58.72,-0.85,54,0.31,26.97,,False
17.5,-4.48,-50.64,-6.3,12.89,20,-5.48,-34.01,-8.08,30.72,-3.24,210,7.2,13.92,6.43,False
13.4,0.1,-80.64,-6.9,13.74,20,-0.86,-4.01,-11.8,110.72,-3.57,810,6.85,14.49,7.79,False
15.2,-0.03,-80.64,-6.45,14.24,20,-7.8,10.99,-16.42,330.72,-0.85,360,8.2,12.54,6.18,False
18.8,-0.37,-50.64,-5.61,14.34,20,-6.22,-4.01,-11.46,280.72,-5.27,660,9.45,18.45,7.94,False
19.6,-0.05,-50.64,-4.95,14.09,20,-8.06,5.99,-13.74,230.72,-5.49,300,9.75,15.54,9.02,True
2.46,-4.55,-38.64,-21.75,8.34,2,2.82,-64.01,-10.78,24.72,-0.17,0,0.41,26.1,,False
25.8,1.11,-80.64,-4.05,14.09,20,-4.18,5.99,-8.2,140.72,-4.54,630,8.85,11.1,9.4,True
0.42,-6.45,-47.64,-18.81,8.54,2,2.04,-74.01,-12.3,56.72,0.45,51,0.27,28.95,7.3,False
15.6,1.04,-80.64,-6.33,13.99,20,-8.86,5.99,-12.04,180.72,-3.99,885,9.6,11.94,7.26,False
2.36,-7.76,-35.64,-22.38,8.6,2,3.44,-48.01,-10.32,34.72,-1.05,21,0.91,30.9,,True
11,0.52,-80.64,-7.83,15.24,20,-3.16,-44.01,-9.9,30.72,-3.78,345,7.1,11.61,,True
2.96,-4.26,-41.64,-21.45,8,2,1.82,-70.01,-11.36,6.72,1.52,27,0.61,29.25,,False
17.3,0.41,-80.64,-5.76,16.24,20,-5.5,-39.01,-9.44,380.72,-5.04,330,5.7,14.22,,True
29.6,0.54,-50.64,-4.14,16.34,20,-6.76,-14.01,-14.78,250.72,-0.22,930,5.15,18.75,,False
25,-0.18,-50.64,-4.62,17.69,20,-7.94,-44.01,-11.66,60.72,-6.21,1170,5.7,11.16,,True
15.9,-1.39,-35.64,-5.4,15.34,20,-6.52,-4.01,-9.26,320.72,-3.37,15,9.3,13.29,8.06,True
3.04,-4.5,-47.64,-20.28,8.7,2,0.62,-79.01,-12.28,80.72,-0.61,153,0.87,26.49,,True
1.52,-4.8,-47.64,-23.13,8.47,2,1,-82.01,-13.84,62.72,-0.84,48,0.94,30.78,7.98,True
10.8,1.49,-50.64,-2.82,17.74,20,-9.84,15.99,-12.16,220.72,-6.18,375,6.4,9.69,8.19,True
2.1,-10.77,-41.64,-18.9,8.1,2,1.72,-83.01,-10.64,60.72,-0.01,69,0.62,26.61,,False
27.1,-0.31,-50.64,-6.54,13.89,20,-4.88,10.99,-8.86,180.72,-3.64,570,5.9,20.25,,False
19.1,-0.01,-50.64,-7.17,13.24,20,-6.54,-24.01,-8.34,410.72,-4.32,195,8.7,14.13,,False
1.14,-4.26,-47.64,-20.67,8.34,2,1.48,-80.01,-16.8,68.72,0,36,0.4,30.69,7.06,False
2.1,-3.74,-35.64,-26.73,8.48,2,4.04,-66.01,-12.52,58.72,-0.03,66,0.93,25.68,8.23,True
28.6,-0.63,-50.64,-17.46,12.94,20,-5.08,15.99,-15,100.72,-0.95,885,5.2,23.13,,False
17,-0.15,-50.64,-4.92,16.09,20,-7.36,0.99,-9.36,360.72,-4.97,225,5.95,13.47,,False
12.9,-0.56,-50.64,-10.98,13.34,20,-6.66,-49.01,-9.36,240.72,-4.72,315,8.45,12.6,,False
1.44,-3.79,-41.64,-19.11,8.58,2,5.62,-59.01,-13.28,68.72,0.86,108,0.75,29.13,8.48,True
2.96,-4.3,-47.64,-17.67,8.76,2,1.68,-77.01,-9.54,-3.28,3.1,21,0.2,26.97,8.79,True
28,-2.88,-80.64,-8.01,13.34,20,-3.8,-24.01,-7.7,350.72,-3.01,360,7.15,19.35,5.74,False
1.08,-5.67,-47.64,-22.05,8.09,2,2.14,-74.01,-9.58,40.72,-0.68,12,0.59,37.56,,False
3.84,-4.8,-47.64,-18.24,8.21,2,2.82,-71.01,-10.44,8.72,-0.01,15,1,26.64,,True
16.6,-0.83,-50.64,-11.16,13.39,20,-6.36,-69.01,-9.74,-19.28,-3.87,330,5.05,16.59,5.91,False
10.8,0.17,-110.64,-5.52,14.99,20,-6.34,-174.01,-8.64,470.72,-4.44,495,8.3,18.69,,False
11.9,-0.88,-50.64,-3.27,12.99,20,-7.14,-9.01,-14.02,50.72,-5.64,810,10.3,10.98,6.86,False
25.8,-0.11,-50.64,-7.02,13.79,20,-7.9,5.99,-9.92,120.72,-3.26,255,8,14.37,9.6,True
1.42,-4.41,-41.64,-21.03,8.19,2,2.94,-84.01,-10.12,50.72,-0.14,87,0.95,25.86,,False
2.76,-4.11,-47.64,-19.56,8.8,2,2.12,-78.01,-9.34,74.72,1.06,63,0.04,26.34,8.69,True
0.88,-3.79,-47.64,-19.47,8.71,2,2.32,-70.01,-10.6,4.72,-0.12,150,0.4,27.27,8.6,True
1.04,-4.18,-47.64,-19.89,8.76,2,2.58,-83.01,-10.02,6.72,-0.77,36,0.7,28.95,9.25,True
2.66,-3.87,-35.64,-21.57,8.51,2,2.18,-59.01,-11.7,66.72,-0.88,87,0.69,30.39,,False
10.4,-0.8,-50.64,-8.61,13.79,20,-4.3,-24.01,-10.3,380.72,-3.56,375,5.9,17.61,,False
2.72,-5.05,-41.64,-17.4,8.66,2,4.14,-57.01,-14.34,24.72,1.62,216,0.9,25.71,,True
1.9,-3.88,-47.64,-19.5,8.73,2,5.72,-77.01,-10,60.72,0.64,33,0.62,27.87,9.55,True
23.9,-4.84,-50.64,-5.85,12.84,20,-3.74,25.99,-10.28,40.72,-1.67,525,7.05,13.32,,False
2.96,-7.23,-47.64,-17.61,8.65,2,7.8,-80.01,-9.26,2.72,-1.08,72,0.8,28.83,,True
1.36,-3.91,-35.64,-19.8,8.81,2,4.38,-67.01,-10.36,46.72,0.16,33,0.15,32.82,,False
0.1,-3.84,-47.64,-19.47,8.5,2,1.62,-80.01,-13.9,24.72,0.98,87,0.71,26.34,,False
26.8,1.06,-80.64,-5.13,13.59,20,-8.22,-104.01,-8,170.72,-5.41,945,9.35,13.62,,True
26.6,0.34,-80.64,-5.94,12.99,20,-7.16,-29.01,-10.74,0.72,-4.56,1080,8.35,11.61,,False
1.54,-5.68,-38.64,-17.94,8.89,2,1.72,-69.01,-10.32,18.72,-0.82,69,0.76,26.52,8.59,True
0.58,-4.1,-47.64,-17.52,8.75,2,1.38,-84.01,-18.46,38.72,-0.48,126,0.76,25.5,,True
1.04,-4.01,-44.64,-24.09,8.61,2,3.82,-69.01,-17.7,10.72,0.83,129,0.87,27.36,8.88,True
2.52,-3.69,-41.64,-21.48,8.67,2,0.98,-50.01,-10.28,-11.28,-0.94,36,0.59,26.91,8.48,True
13.1,0.01,-80.64,-12.6,14.24,20,-2.64,10.99,-17.88,380.72,-3.09,450,6.9,14.28,6.79,False
29.8,0.2,-50.64,-3.66,15.14,20,-8.48,-69.01,-12.12,400.72,-1.86,1155,8.5,13.17,7.12,False
18.4,-0.37,-80.64,-5.49,14.39,20,-8.02,-4.01,-9.7,190.72,-3.19,30,7.1,17.34,7.88,True
12.6,1.02,-80.64,-3.69,15.84,20,-7.94,-59.01,-9.34,270.72,-5.25,330,6.65,12.39,8.91,True
3.6,-3.56,-41.64,-18.18,8.79,0,6.34,-79.01,-9.82,8.72,0.81,63,0.19,27.48,8.35,True
2.26,-5.03,-47.64,-18.96,8.24,2,3.5,-77.01,-15.04,40.72,-0.44,147,0.8,31.23,7.07,False
13.1,0.59,-50.64,-5.79,14.99,20,-6.06,-39.01,-10.96,380.72,-5.63,195,8.35,14.37,,True
11.1,-0.67,-80.64,-6.72,15.44,20,-6.18,-174.01,-11.12,380.72,-4.67,1050,7.45,17.67,,False
3.8,-3.89,-41.64,-17.49,8.48,2,0.9,-52.01,-13.72,14.72,-0.05,189,0.97,31.86,8.34,True
15.2,-0.11,-80.64,-13.71,13.54,20,-7.18,-144.01,-8.7,170.72,-4.99,285,8.05,13.02,7.26,False
3.6,-3.74,-47.64,-20.13,8.62,2,3.56,-80.01,-14.86,0.72,1.63,225,0.33,25.32,,True
2.7,-5.07,-47.64,-21.36,8.45,2,1.48,-83.01,-11.28,38.72,0.67,225,0.43,25.56,7.27,False
12.5,-0.89,-110.64,-10.53,14.94,20,-9.74,-129.01,-8.56,240.72,-6.15,1050,10.35,13.35,7.65,True
3.08,-4.23,-41.64,-25.5,8.68,2,1.38,-65.01,-11.32,44.72,1.56,60,0.2,28.35,,False
1.78,-4.03,-47.64,-21.93,8.54,2,1.08,-86.01,-12.32,8.72,-0.69,63,0.76,28.71,9.26,True
2.66,-9.92,-35.64,-20.7,8.32,2,4.18,-59.01,-14.34,66.72,-0.57,9,0.63,28.65,,False
3.88,-3.89,-41.64,-20.43,8.71,2,8.86,-78.01,-9.14,64.72,-0.85,27,0.37,25.8,7.99,True
4.16,-3.91,-41.64,-18.51,8.6,2,0.56,-70.01,-15.54,26.72,-0.31,36,0.69,26.64,,True
25.9,-1.06,-110.64,-11.76,13.59,20,-6.76,-119.01,-9.8,70.72,-4.62,1050,5.35,29.76,,False
21.9,0.73,-80.64,-6.09,14.89,20,-6.56,-79.01,-9.84,220.72,-5.12,1065,5.95,14.67,7.39,False
12.7,0.87,-50.64,-6.36,16.34,20,-10.1,-4.01,-13.18,150.72,-3.76,795,10.05,12.99,,True
2.16,-3.78,-35.64,-18.66,8.84,2,4.04,-66.01,-11.7,16.72,0.68,153,0.52,26.28,,True
3.36,-4.67,-41.64,-22.35,7.97,2,1.58,-59.01,-15.16,6.72,-0.54,12,0.4,26.19,,False
2.48,-4.17,-47.64,-18.78,8.26,2,5.1,-80.01,-10.32,60.72,-0.26,66,0.66,28.71,7.77,False
24.5,-1.77,-110.64,-6.3,13.99,20,-6.68,-169.01,-6.64,320.72,-4.74,870,7.5,19.89,,False
2.74,-6,-41.64,-17.79,8.56,2,1.02,-58.01,-11.28,6.72,0.23,12,0.55,31.26,,True
3.28,-3.98,-41.64,-23.07,8.49,2,5.18,-56.01,-11.6,70.72,1.94,15,0.53,26.82,7.76,False
0.44,-6.49,-41.64,-30.54,8.77,2,2.94,-85.01,-11.28,56.72,0.01,165,0.66,25.89,7.63,True
1.26,-5.21,-41.64,-18.96,8.18,2,1.36,-58.01,-12.24,-9.28,-0.85,15,0.76,30.78,,False
1.4,-5.24,-41.64,-19.53,8.66,2,2.52,-55.01,-10.58,10.72,2.23,15,0.6,27.3,9.66,True
2.88,-6.75,-35.64,-34.86,8.36,2,1.26,-62.01,-15.42,30.72,-0.78,45,0.63,28.68,,False
3.36,-4.13,-41.64,-21.15,8.86,2,0.86,-64.01,-13.84,-5.28,-0.65,72,0.42,33.57,,True
3.46,-4.16,-35.64,-18.03,8.5,2,1.82,-59.01,-10.76,62.72,-0.77,39,0.78,26.49,8.49,False
16.3,0.25,-50.64,-15.03,13.64,20,-7.52,0.99,-11.74,200.72,-4.81,855,8.7,13.68,6.23,False
1.06,-6.04,-41.64,-22.32,8.24,2,2.24,-71.01,-10.56,18.72,-0.35,21,1.02,30.03,,False
3.68,-3.7,-47.64,-19.74,8.37,2,1.98,-81.01,-10.68,-3.28,-0.43,48,0.79,26.82,10.04,True
21.5,1.34,-50.64,-8.31,17.49,20,-9.58,-59.01,-16.38,220.72,-2.52,615,5.05,10.98,,True
1.94,-5.43,-47.64,-25.38,8.51,2,1.1,-71.01,-10.78,50.72,0,48,0.86,28.77,8.96,True
3.18,-5.56,-47.64,-22.86,8.11,2,1.58,-76.01,-14.6,22.72,-0.21,54,0.22,31.95,7.67,False
2.12,-3.84,-41.64,-30.75,8.49,2,1.42,-66.01,-10.28,60.72,1.35,54,0.95,33.15,,False
13,-0.39,-50.64,-5.94,16.04,20,-8.9,-69.01,-8.36,370.72,-5.41,75,7.8,13.59,,True
0.24,-6.78,-47.64,-18.9,8.04,2,5.88,-83.01,-9.76,14.72,0.61,6,0.58,30.93,7,False
1.72,-5.65,-41.64,-18.54,8.58,2,3.44,-72.01,-12.4,42.72,0.42,81,0.29,26.31,,False
22.3,-4.4,-110.64,-10.08,12.69,20,-1.52,-79.01,-6.92,280.72,-2.93,600,6.65,19.02,,False
2.08,-4.68,-47.64,-18.48,8.7,2,2.24,-74.01,-11.42,4.72,-0.15,18,0.35,28.71,7.09,True
1.34,-4.87,-47.64,-20.1,8.33,2,3.02,-78.01,-10.34,58.72,-0.4,54,0.51,28.26,7.13,False
1.26,-6.33,-41.64,-19.44,8.5,2,0.98,-80.01,-9.88,70.72,-0.68,57,0.96,25.77,8.3,False
1.36,-3.65,-35.64,-21.24,8.79,2,1.02,-50.01,-15.2,24.72,1.61,63,0.64,34.44,8.43,True
15.8,0.38,-110.64,-3.48,14.99,10,-6.48,-84.01,-9.12,210.72,-2.34,750,5.2,14.58,,True
2.24,-4.04,-41.64,-18.36,8.6,2,0.88,-79.01,-11.46,6.72,-0.14,15,0.71,32.73,,True
0.88,-3.61,-35.64,-18.18,8.37,2,2.34,-56.01,-12.82,8.72,0.24,9,0.75,29.22,8.19,True
3.5,-4.39,-41.64,-17.94,8.68,2,0.84,-70.01,-11.86,52.72,-0.68,15,0.41,25.98,8.02,True
14.5,-0.46,-80.64,-10.38,13.54,20,-5.06,-94.01,-8.7,370.72,-4.11,300,6.45,16.74,6.34,False
12.9,0.8,-50.64,-2.64,15.79,20,-6.12,-19.01,-9.86,330.72,-6.21,300,9.85,13.26,9.67,True
15.9,-1.59,-50.64,-4.5,15.99,20,-7.48,10.99,-11.44,60.72,-3.59,705,6.4,12.78,,False
25.5,-0.9,-80.64,-8.76,14.54,20,-6.52,-84.01,-14.8,280.72,-3.96,750,7.85,11.73,,True
10.1,1.4,-80.64,-2.49,16.99,20,-8.78,0.99,-11.46,350.72,-6.1,1170,9.55,8.94,6.33,False
11.6,-1.49,-80.64,-10.47,14.24,20,-3.16,-39.01,-11.58,380.72,-3.62,660,5.75,18.33,6.93,False
2.56,-4.5,-41.64,-18.6,8.38,2,9.7,-70.01,-12.12,48.72,-0.33,18,0.68,26.25,,False
12.9,-2.2,-50.64,-15.78,14.09,20,-4.86,-34.01,-11.56,190.72,-2.78,165,5.2,14.28,,False
13,0.48,-80.64,-3.6,16.79,20,-5.7,-24.01,-11.46,390.72,-5.53,765,8.55,10.29,,True
25.6,0.05,-65.64,-9,14.59,20,-7.2,-74.01,-7.74,430.72,-3.88,555,7.05,14.67,,False
28.3,-0.92,-80.64,-8.94,15.29,20,-6.62,-89.01,-9.84,280.72,-3.87,675,6.55,15.87,7.56,True
1.28,-10.61,-41.64,-21.69,7.9,2,3.56,-81.01,-11.5,16.72,-0.35,27,0.79,29.16,,False
3.6,-4.19,-41.64,-20.22,8.46,2,1.12,-87.01,-13.92,70.72,0.1,75,0.6,25.68,,True
3.36,-3.85,-41.64,-18.09,8.23,2,2.82,-53.01,-15.34,-1.28,-0.8,75,0.8,25.41,,False
2.34,-4.58,-47.64,-27.24,8.77,2,7.62,-79.01,-11.02,2.72,0.99,39,0.85,29.67,,True
13.5,0.04,-50.64,-4.86,14.19,20,-7.82,-49.01,-8.1,80.72,-3.61,30,6.6,12.27,,True
11.5,0.42,-80.64,-4.41,14.24,20,-8.58,-69.01,-10.14,260.72,-5.5,300,9.45,11.55,,True
16.2,-0.03,-80.64,-4.62,15.89,20,-8.8,-104.01,-9.08,400.72,-4.5,765,8.45,12.24,8.3,True
28.4,0.09,-80.64,-7.83,13.64,20,-5.88,-139.01,-7.16,400.72,-4.11,1080,8.7,20.13,,False
3.06,-5.88,-47.64,-17.31,8.73,2,0.72,-80.01,-9.38,20.72,-1.03,27,0.97,25.83,,True
2.04,-3.66,-35.64,-18.66,8.39,2,7.44,-60.01,-11.16,56.72,0.32,87,0.97,26.82,,True
19,1.34,-50.64,-2.4,15.99,20,-5.46,20.99,-13.68,140.72,-6.35,1020,8.85,9.69,6.67,False
2.06,-6.77,-35.64,-20.46,8.39,2,7.64,-62.01,-13.36,-3.28,0.14,27,0.42,26.55,6.48,False
3.78,-5.64,-47.64,-19.02,8.02,2,1.32,-79.01,-10.14,62.72,-0.11,120,0.92,25.98,,False
15.8,-0.21,-110.64,-7.35,14.49,20,-4.94,-149.01,-7.16,420.72,-4.55,630,8.75,11.85,9.29,True
1.1,-3.95,-41.64,-18.72,8.48,2,1.18,-50.01,-12.1,46.72,0.28,75,0.86,30.45,9.21,True
19,1.02,-110.64,-3.33,16.94,20,-8.06,-84.01,-8.04,330.72,-5.45,780,5.75,14.64,9.13,True
27.8,0.63,-50.64,-9.99,13.74,20,-8.56,-4.01,-11.94,90.72,-5.22,450,7.95,12,,True
2.86,-3.92,-41.64,-17.97,8.34,2,5.92,-71.01,-10.12,-7.28,-0.44,54,0.53,28.11,7.51,False
3.84,-6.96,-41.64,-19.08,8,2,1.92,-80.01,-13.16,56.72,2.67,132,1.04,25.86,7.33,False
4.14,-5.08,-41.64,-26.91,8.32,2,1.02,-80.01,-9.86,80.72,1.73,48,0.78,33.12,8.68,True
1.14,-7.42,-35.64,-23.88,8.68,2,2.26,-62.01,-11.36,6.72,-1.14,18,0.88,30,,True
1.44,-4.6,-47.64,-22.47,8.16,2,1.2,-79.01,-9.76,10.72,2.01,81,0.92,26.25,,False
0.68,-5.15,-44.64,-25.83,7.92,2,4.04,-88.01,-9.62,8.72,-0.64,0,0.76,29.19,,False
2.46,-4.19,-41.64,-22.05,8.4,2,2.3,-73.01,-10.34,6.72,-0.74,27,0.49,25.62,,False
16.3,-3.51,-50.64,-7.53,14.74,20,-7.62,-64.01,-10.82,140.72,-3.57,285,5.8,14.07,,False
17.3,-2.52,-50.64,-8.76,12.79,20,-1.88,-64.01,-14.02,220.72,-3.58,870,6.65,24.78,,False
3.66,-6.36,-41.64,-22.29,8.57,2,1.56,-52.01,-15.8,18.72,-0.68,69,0.4,27.06,,False
2.86,-4.52,-41.64,-19.77,8.14,2,3.74,-82.01,-10.58,10.72,1.5,114,0.64,28.08,7.58,False
4.02,-5.39,-47.64,-18.93,8.71,2,2.58,-84.01,-10.3,78.72,-0.12,66,0.82,28.5,7.75,True
1.26,-5.37,-47.64,-24.36,8.46,2,7.6,-80.01,-10.72,6.72,-0.22,75,0.29,25.44,8.29,False
25.6,-0.28,-50.64,-7.14,14.24,20,-4.98,-9.01,-7.3,300.72,-3.47,120,5.7,17.4,,False
11,-0.28,-80.64,-7.83,13.84,20,-7.34,-114.01,-8.02,470.72,-0.74,435,9.05,16.95,,False
1.54,-3.59,-41.64,-18.66,8.81,2,1.68,-67.01,-10.38,26.72,-1.05,9,0.57,24.87,,True
0.66,-3.6,-47.64,-22.98,8.52,2,4.44,-84.01,-12.56,-3.28,-0.92,150,0.98,27.18,,True
10.4,1.5,-50.64,-3.75,16.19,20,-8.96,-4.01,-14.02,430.72,-5.54,345,9.4,11.1,7.93,True
